Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C103, C104, C106, C107, C108, C111, C112, C201, C203, C207, C208, C217, C218, C219, ",C_0402_1005Metric,15,100n,C307331
"C102, C105, C210, C211, C212, ",C_1206_3216Metric,5,10u 35V,C13585
"C109, C110, ",C_0402_1005Metric,2,22n,C107019
"C202, ",C_0805_2012Metric,1,10u 35V 0805,C440198
"C204, C205, C206, C213, C214, C215, C216, ",C_0805_2012Metric,7,22u,C45783
"C209, ",CP_Elec_6.3x7.7,1,100u 35V,C125975
"D201, ",D_SOD-323,1,10V,C85383
"D202, ",LED_0603_1608Metric,1,0603_LED,C72043 
"FID101, FID102, FID103, ",Toolinghole,3,Toolinghole_jlc,
"FID104, FID105, FID106, ",Fiducial,3,Fiducial,
"J101, J103, ","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",2,"Phoenix Contact MC 1,5/ 2-G-3,5",C880572
"J105, ",PinHeader_2x04_P2.54mm_Vertical_SMD,1,Conn_02x04_smd,C3294462
"J106, ",PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_f,C2935975
"J301, J303, ",Plug into J101 and J103!,2,"Phoenix Contact MC 1,5/ 2-G-3,5 Plug",C42701 
"L201, ",L_SMD,1,56uH,C2962890
"Q101, Q102, ",SOT-23,2,AO3400A,C20917
"Q201, ",TO-252-2,1,AOD4185,C400894
"R103, R104, R111, R210, ",R_0402_1005Metric,4,100k,C25741
"R105, R106, ",R_0402_1005Metric,2,1k5,C25867
"R107, R108, ",R_0402_1005Metric,2,100R,C25076
"R109, R110, ",R_0402_1005Metric,2,680R,C25130
"R112, R201, R203, ",R_0402_1005Metric,3,470k,C25790
"R202, ",R_0603_1608Metric,1,20R,C22950
"R205, R206, ",R_0402_1005Metric,2,47k,C25792
"R207, ",R_0402_1005Metric,1,1k,C11702
"R208, R209, ",R_0402_1005Metric,2,4k7,C25900
"SW101, ",SW_SPST_SKQG_WithoutStem,1,Switch,C2985739
"U101, ",SO-14_3.9x8.65mm_P1.27mm,1,74HC04,C5590
"U102, ",SO-14_3.9x8.65mm_P1.27mm,1,74HC08,C5593
"U103, ",SO-14_3.9x8.65mm_P1.27mm,1,74HC32,C5632
"U104, U105, ",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46,2,DRV8874PWPR,C1855818
"U106, ",SOT-23-5,1,LMV321,C7972
"U201, ",TSOT23-8,1,MP9942GJ,C118209
