"Designator","Mid X","Mid Y","Rotation","Layer"
"Designator","Mid X","Mid Y","Rotation","Layer"
"A101",27825,"1.87","0.0","bottom"
"C101","17.7","43.2","90.0","top"
"C102","14.6","30.4","180.0","top"
"C103","16.54","32.6","180.0","top"
"C104","17.7","29.2","90.0","top"
"C105","19.5","16.7","0.0","top"
"C106","16.54","18.6","180.0","top"
"C107","18.5","32.4","180.0","top"
"C108","18.5","18.4","180.0","top"
"C109","18.9","33.5","180.0","top"
"C110","18.9","19.5","180.0","top"
"C111","12.1","47.2","90.0","top"
"C112","50.0","29.5","0.0","top"
"C113","50.0","28.0","0.0","top"
"C114","24.1","18.0","270.0","top"
"C115","28.0","13.7","0.0","top"
"C201","33.1","16.2","0.0","top"
"C202","32.5","7.9","270.0","top"
"C203","19.5","14.3","0.0","top"
"C204","37.3","10.0","270.0","top"
"C205","39.7","10.0","270.0","top"
"C212","42.7","19.3","0.0","top"
"C213","42.6","10.4","0.0","top"
"C214","42.2","11.9","0.0","top"
"C215","45.5","7.6","180.0","top"
"C216","45.5","5.5","180.0","top"
"C217","51.5","7.6","0.0","top"
"C218","41.6","17.8","90.0","top"
"C219","3.4","32.9","180.0","top"
"C220","49.65","24.7","90.0","top"
"C221","15.2","46.5","180.0","top"
"C222","7.2","32.9","0.0","top"
"C223","48.0","33.3","90.0","top"
"C224","48.0","42.3","90.0","top"
"C225","48.0","24.3","90.0","top"
"D101","11.5","25.7","0.0","top"
"D102","11.5","27.3","180.0","top"
"D103","11.5","16.4","0.0","top"
"D104","11.5","18.0","180.0","top"
"D201","25.1","2.3","90.0","top"
"D202","41.3","5.4","0.0","top"
"J101","7.5","26.5","270.0","top"
"J102","4.0","29.0","0.0","top"
"J103","7.5","17.0","270.0","top"
"J104","4.0","19.5","0.0","top"
"J105","5.4","39.8","90.0","top"
"J106","22.81","46.5","0.0","top"
"J107","7.1","49.0","180.0","top"
"L201","49.0","14.0","270.0","top"
"Q101","26.7","31.2","0.0","top"
"Q102","26.7","20.4","0.0","top"
"Q201","22.6","7.5","0.0","top"
"R102","50.5","37.2","180.0","top"
"R103","50.5","45.4","0.0","top"
"R104","50.5","41.6","180.0","top"
"R107","11.2","28.6","0.0","top"
"R108","11.2","19.3","0.0","top"
"R109","50.5","39.6","0.0","top"
"R110","51.9","23.8","0.0","top"
"R111","25.3","34.0","270.0","top"
"R112","24.1","22.2","270.0","top"
"R113","24.2","32.4","270.0","top"
"R114","24.1","20.2","270.0","top"
"R115","23.7","16.2","0.0","top"
"R116","23.7","15.1","180.0","top"
"R201","28.0","4.7","270.0","top"
"R202","39.2","13.2","0.0","top"
"R203","42.7","17.8","90.0","top"
"R204","43.2","3.9","0.0","top"
"R205","37.5","13.4","270.0","top"
"R206","39.7","16.4","90.0","top"
"R207","39.7","18.39","90.0","top"
"R208","38.7","18.4","90.0","top"
"SW101","60.5","21.5","0.0","top"
"U101","42.5","26.5","180.0","top"
"U102","42.5","44.5","180.0","top"
"U103","42.5","35.5","180.0","top"
"U104","18.0","38.0","180.0","top"
"U105","18.0","24.0","180.0","top"
"U106","26.5","16.5","-90.0","top"
"U201","42.0","14.5","-90.0","top"
"J203","3.8","6.1","0.0","top"
