"Designator","Mid X","Mid Y","Rotation","Layer"
"C101","17.7","43.2","90.0","top"
"C102","14.6","30.4","180.0","top"
"C103","16.54","32.6","180.0","top"
"C104","17.7","29.2","90.0","top"
"C105","19.5","16.7","0.0","top"
"C106","16.54","18.6","180.0","top"
"C107","18.5","32.4","180.0","top"
"C108","18.5","18.4","180.0","top"
"C109","18.9","33.5","180.0","top"
"C110","18.9","19.5","180.0","top"
"C111","12.1","47.2","90.0","top"
"C112","50.0","29.5","0.0","top"
"C113","50.0","28.0","0.0","top"
"C114","24.1","18.0","270.0","top"
"C115","28.0","13.7","0.0","top"
"C201","33.1","16.2","180.0","top"
"C202","32.5","7.9","270.0","top"
"C203","19.5","14.3","0.0","top"
"C208","43.2","8.3","270.0","top"
"C209","39.9","16.0","90.0","top"
"C210","38.0","11.0","270.0","top"
"C211","39.8","12.1","270.0","top"
"C212","45.8","12.4","180.0","top"
"C213","45.8","10.3","180.0","top"
"C214","45.8","8.2","180.0","top"
"C215","41.3","7.4","270.0","top"
"C216","3.4","32.9","180.0","top"
"C217","49.65","24.7","90.0","top"
"C218","15.2","46.5","180.0","top"
"C219","7.2","32.9","0.0","top"
"C220","48.0","33.3","90.0","top"
"C221","48.0","42.3","90.0","top"
"C222","48.0","24.3","90.0","top"
"D101","11.5","25.7","0.0","top"
"D102","11.5","27.3","180.0","top"
"D103","11.5","16.4","0.0","top"
"D104","11.5","18.0","180.0","top"
"D201","24.5","12.5","180.0","top"
"D202","40.5","4.8","0.0","top"
"J101","7.5","26.45","270.0","top"
"J103","7.5","17.15","270.0","top"
"J105","7.1","49.0","180.0","top"
"J106","5.4","39.8","90.0","top"
"J107","22.8","46.5","0.0","top"
"J201","6.85","6.1","0.0","top"
"L201","45.6","17.4","0.0","top"
"Q101","26.7","31.2","0.0","top"
"Q102","26.7","20.4","0.0","top"
"Q201","20.5","8.5","90.0","top"
"R101","50.5","36.2","180.0","top"
"R102","50.5","37.2","180.0","top"
"R103","50.5","45.4","0.0","top"
"R104","50.5","41.6","180.0","top"
"R107","11.2","28.6","0.0","top"
"R108","11.2","19.3","0.0","top"
"R109","50.5","39.6","0.0","top"
"R110","51.9","23.8","0.0","top"
"R111","25.3","34.0","270.0","top"
"R112","24.1","22.2","270.0","top"
"R113","24.2","32.4","270.0","top"
"R114","24.1","20.2","270.0","top"
"R115","23.7","16.2","0.0","top"
"R116","23.7","15.1","180.0","top"
"R201","21.5","12.2","180.0","top"
"R202","43.2","3.9","0.0","top"
"R203","40.3","7.4","90.0","top"
"R204","39.3","7.4","270.0","top"
"SW101","60.5","21.5","0.0","top"
"U101","42.5","26.5","180.0","top"
"U102","42.5","44.5","180.0","top"
"U103","42.5","35.5","180.0","top"
"U104","18.0","38.0","180.0","top"
"U105","18.0","24.0","180.0","top"
"U106","26.5","16.5","-90.0","top"
"U201","42.1","11.5","180.0","top"
